symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,model
1,nissan,gas,std,4,sedan,fwd,front,240.03,419.86,162.05,138.43,894.03,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,latio
1,nissan,gas,std,4,wagon,fwd,front,240.03,432.31,162.05,135.89,923.97,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,note
2,nissan,gas,std,2,hardtop,fwd,front,241.55,412.5,162.05,135.38,910.81,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,clipper
0,nissan,gas,std,4,hatchback,fwd,front,246.89,440.44,165.61,138.94,1054.15,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,rogue
0,nissan,gas,std,4,sedan,fwd,front,246.89,440.44,165.61,138.94,1044.17,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,nv200
0,nissan,gas,std,4,sedan,fwd,front,255.02,461.52,168.91,139.95,1403.87,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,dayz
0,nissan,gas,std,4,wagon,fwd,front,255.02,468.88,168.91,142.49,1495.04,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,fuga
0,nissan,gas,std,4,sedan,fwd,front,255.02,468.88,168.91,139.95,1387.99,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,otti
3,nissan,gas,std,2,hatchback,rwd,front,231.9,433.58,172.47,126.24,1392.98,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,teana
3,nissan,gas,turbo,2,hatchback,rwd,front,231.9,433.58,172.47,126.24,1423.83,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,kicks
1,nissan,gas,std,2,hatchback,rwd,front,251.97,453.39,172.47,126.24,1423.83,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,clipper
0,peugeot,gas,std,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1369.85,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,504
0,peugeot,diesel,turbo,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1450.13,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,304
0,peugeot,gas,std,4,wagon,rwd,front,290.07,505.21,173.74,149.1,1465.1,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,504 (sw)
0,peugeot,diesel,turbo,4,wagon,rwd,front,290.07,505.21,173.74,149.1,1555.82,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,504
0,peugeot,gas,std,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1394.8,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,504
0,peugeot,diesel,turbo,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,604sl
0,peugeot,gas,std,4,wagon,rwd,front,290.07,505.21,173.74,144.02,1490.05,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,504
0,peugeot,diesel,turbo,4,wagon,rwd,front,290.07,505.21,173.74,149.1,1580.77,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,505s turbo diesel
0,peugeot,gas,std,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1394.8,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,504
0,peugeot,diesel,turbo,4,sedan,rwd,front,274.07,474.22,173.74,144.02,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,504
0,peugeot,gas,turbo,4,sedan,rwd,front,274.32,474.22,173.48,142.24,1419.74,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,604sl
1,plymouth,gas,std,2,hatchback,fwd,front,238.0,399.54,162.05,129.03,869.99,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,fury iii
1,plymouth,gas,turbo,2,hatchback,fwd,front,238.0,399.54,162.05,129.03,965.24,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,cricket
1,plymouth,gas,std,4,hatchback,fwd,front,238.0,399.54,162.05,128.52,892.22,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,fury iii
1,plymouth,gas,std,4,sedan,fwd,front,238.0,424.94,162.05,129.03,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,satellite custom (sw)
1,plymouth,gas,std,4,sedan,fwd,front,238.0,424.94,162.05,129.03,993.82,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,fury gran sedan
-1,plymouth,gas,std,4,wagon,fwd,front,262.38,443.48,164.08,151.89,1149.86,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,valiant
3,plymouth,gas,turbo,2,hatchback,rwd,front,243.59,439.93,168.4,127.51,1278.22,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,duster
3,porsche,gas,std,2,hatchback,rwd,front,240.03,429.01,173.48,127.51,1260.08,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,macan
3,porsche,gas,std,2,hardtop,rwd,rear,227.33,429.01,165.1,131.06,1250.1,ohc,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,panamera
3,porsche,gas,std,2,hardtop,rwd,rear,227.33,429.01,165.1,131.06,1250.1,ohc,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,cayenne
3,porsche,gas,std,2,convertible,rwd,rear,227.33,429.01,165.1,131.06,1270.06,ohc,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,boxter
1,porsche,gas,std,2,hatchback,rwd,front,249.94,446.28,183.64,128.27,1526.79,dohc,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,cayenne
0,renault,gas,std,4,wagon,fwd,front,244.09,461.01,168.91,140.21,1169.81,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,12tl
2,renault,gas,std,2,hatchback,fwd,front,244.09,449.07,169.16,128.27,1115.84,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,5 gtl
3,saab,gas,std,2,hatchback,fwd,front,251.71,473.96,168.91,142.49,1205.65,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,99e
2,saab,gas,std,4,sedan,fwd,front,251.71,473.96,168.91,142.49,1222.43,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,99le
3,saab,gas,std,2,hatchback,fwd,front,251.71,473.96,168.91,142.49,1227.87,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,99le
2,saab,gas,std,4,sedan,fwd,front,251.71,473.96,168.91,142.49,1251.01,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,99gle
3,saab,gas,turbo,2,hatchback,fwd,front,251.71,473.96,168.91,142.49,1273.69,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,99gle
2,saab,gas,turbo,4,sedan,fwd,front,251.71,473.96,168.91,142.49,1291.38,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,99e
2,subaru,gas,std,2,hatchback,fwd,front,238.0,398.53,161.04,136.4,929.86,ohc,4,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru
2,subaru,gas,std,2,hatchback,fwd,front,238.0,401.07,161.54,136.4,961.62,ohc,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,dl
2,subaru,gas,std,2,hatchback,4wd,front,236.98,399.54,162.05,141.48,1016.05,ohc,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603.0,dl
0,subaru,gas,std,4,sedan,fwd,front,246.89,436.88,166.12,133.35,972.96,ohc,4,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru
0,subaru,gas,std,4,sedan,fwd,front,246.89,436.88,166.12,133.35,993.37,ohc,4,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0,brz
0,subaru,gas,std,4,sedan,fwd,front,246.89,436.88,166.12,133.35,1061.41,ohc,4,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,baja
0,subaru,gas,std,4,sedan,4wd,front,246.38,436.88,166.12,137.92,1081.82,ohc,4,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0,r1
0,subaru,gas,turbo,4,sedan,4wd,front,246.38,436.88,166.12,137.92,1138.52,ohc,4,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,r2
0,subaru,gas,std,4,wagon,fwd,front,246.38,440.69,166.12,134.62,1038.73,ohc,4,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0,trezia
0,subaru,gas,std,4,wagon,fwd,front,246.38,440.69,166.12,134.62,1113.57,ohc,4,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,tribeca
0,subaru,gas,std,4,wagon,4wd,front,246.13,440.94,166.12,139.45,1097.69,ohc,4,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,dl
0,subaru,gas,turbo,4,wagon,4wd,front,246.13,440.94,166.12,139.45,1202.02,ohc,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,dl
1,toyota,gas,std,2,hatchback,fwd,front,243.08,403.1,161.54,138.43,900.38,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,corona mark ii
1,toyota,gas,std,2,hatchback,fwd,front,243.08,403.1,161.54,138.43,925.33,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,corona
1,toyota,gas,std,4,hatchback,fwd,front,243.08,403.1,161.54,138.43,913.99,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,corolla 1200
0,toyota,gas,std,4,wagon,fwd,front,243.08,431.04,161.54,150.11,1034.19,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,corona hardtop
0,toyota,gas,std,4,wagon,4wd,front,243.08,431.04,161.54,150.11,1038.73,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,corolla 1600 (sw)
